runnum,totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
13612,0.0210156,0.0188852,0.968426,0.968429
13613,0.0179855,0.0161684,0.968288,0.968291
13614,0.00471471,0.00424375,0.946628,0.946631
13615,0.022459,0.0202006,0.969919,0.969921
13616,0.0218566,0.0196534,0.969115,0.969118
13617,0.0222925,0.020033,0.968986,0.96899
13618,0.0222897,0.0200305,0.968929,0.968932
13619,0.00178392,0.00167564,0.966978,0.966981
13620,0.0201287,0.0181309,0.970716,0.970719
13660,0.0027775,0.00254258,0.980071,0.980073
13661,0.021546,0.0193945,0.97563,0.975634
13662,0.0204,0.0183652,0.96341,0.963415
13664,0.0167934,0.0150998,0.962755,0.962759
13665,0.0102542,0.0092472,0.962997,0.963001
13666,0.0133544,0.0120509,0.962036,0.96204
13677,0.0344728,0.0309116,0.960035,0.96004
13678,0.0290019,0.026066,0.961562,0.961564
13679,0.0341036,0.0305753,0.957196,0.9572
13680,0.0334857,0.0300274,0.957544,0.957549
13681,0.0393318,0.0352728,0.957218,0.957222
13682,0.00237707,0.00211999,0.966074,0.966076
13684,0.0414007,0.0371281,0.954855,0.954858
13685,0.0402239,0.036081,0.957893,0.957896
13686,0.0689386,0.0615844,0.954101,0.954105
13687,0.0688666,0.0617675,0.942316,0.94232
13688,0.0347414,0.0311507,0.946537,0.946541
13689,0.0082891,0.00493796,0.954608,0.954612
13694,0.0685916,0.0615296,0.956643,0.956647
13695,0.0193674,0.0173658,0.955921,0.955924
13698,0.00210716,0.00190175,0.949134,0.949137
13699,0.0221985,0.0199993,0.956659,0.956664
13700,0.0165189,0.0149371,0.954203,0.954208
13710,-99.0,0.00832891,0.948793,0.948797
13711,-99.0,0.00522394,0.949834,0.94984
13712,0.0852457,0.0763974,0.950815,0.950819
13714,0.0836207,0.0749529,0.941172,0.941177
13715,0.0828236,0.0742229,0.952461,0.952467
13716,0.0820648,0.0735536,0.935325,0.93533
13717,0.020922,0.0187537,0.935827,0.935831
13721,0.0486308,0.0435925,0.938205,0.93821
13723,0.0949015,0.0850759,0.952694,0.952699
13724,0.016883,0.0145017,0.955496,0.955501
13727,0.0822251,0.0737204,0.942789,0.942794
13728,0.0824066,0.0738623,0.942276,0.94228
13729,0.0849996,0.0762218,0.95758,0.957585
13731,0.0844122,0.0756742,0.958589,0.958593
13732,0.0902451,0.0809645,0.962158,0.962162
13734,0.0808851,0.0725146,0.965349,0.965353
13736,0.0858116,0.0769201,0.965558,0.965562
13737,0.0277205,0.0237798,0.963646,0.963651
13746,0.0609275,0.0546688,0.961174,0.961179
13748,0.0866469,0.0776923,0.956152,0.956155
13749,0.0596859,0.0525515,0.958676,0.95868
13753,0.0602059,0.0540108,0.961723,0.961727
13754,0.00393575,0.00356059,0.958916,0.958921
13755,0.0504041,0.0442855,0.953657,0.953661
13756,0.00221389,0.00147932,0.966261,0.966261
